Assembly `Azure.Core` is referencing `System.Diagnostics.DiagnosticSource, Version=8.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Diagnostics.DiagnosticSource, Version=9.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` at `System.Diagnostics.DiagnosticSource.dll`
Assembly `Azure.Core` is referencing `System.Text.Encodings.Web, Version=8.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Text.Encodings.Web, Version=9.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` at `runtimes\browser\lib\net8.0\System.Text.Encodings.Web.dll`
Assembly `Azure.Core` is referencing `System.Text.Json, Version=8.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Text.Json, Version=9.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` at `System.Text.Json.dll`
Assembly `Azure.Identity` is referencing `Azure.Core, Version=1.47.3.0, PublicKeyToken=92742159e12e44c8` but found `Azure.Core, Version=1.48.0.0, PublicKeyToken=92742159e12e44c8` at `Azure.Core.dll`
Assembly `Azure.Identity` is referencing `Microsoft.IdentityModel.Abstractions, Version=6.35.0.0, PublicKeyToken=31bf3856ad364e35` but found `Microsoft.IdentityModel.Abstractions, Version=7.7.1.0, PublicKeyToken=31bf3856ad364e35` at `Microsoft.IdentityModel.Abstractions.dll`
Assembly `Azure.Identity` is referencing `System.Diagnostics.DiagnosticSource, Version=8.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Diagnostics.DiagnosticSource, Version=9.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` at `System.Diagnostics.DiagnosticSource.dll`
Assembly `Azure.Identity` is referencing `System.Text.Encodings.Web, Version=8.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Text.Encodings.Web, Version=9.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` at `runtimes\browser\lib\net8.0\System.Text.Encodings.Web.dll`
Assembly `Azure.Identity` is referencing `System.Text.Json, Version=8.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Text.Json, Version=9.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` at `System.Text.Json.dll`
Assembly `Azure.Storage.Blobs` is referencing `Azure.Core, Version=1.33.0.0, PublicKeyToken=92742159e12e44c8` but found `Azure.Core, Version=1.48.0.0, PublicKeyToken=92742159e12e44c8` at `Azure.Core.dll`
Assembly `Azure.Storage.Blobs` is referencing `System.Diagnostics.DiagnosticSource, Version=6.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Diagnostics.DiagnosticSource, Version=9.0.0.0, PublicKeyToken=cc7b13ffcd2ddd51` at `System.Diagnostics.DiagnosticSource.dll`
Assembly `Azure.Storage.Blobs` is referencing `System.Memory.Data, Version=1.0.2.0, PublicKeyToken=cc7b13ffcd2ddd51` but found `System.Memory.Data, Version=8.0.0.1, PublicKeyToken=cc7b13ffcd2ddd51` at `System.Memory.Data.dll`
